question	queries	links
How to protect the slag line from the electric arc's radiation in a ladle furnace?	ladle furnace slag line MgO-C refractory wear mechanism	['https://onlinelibrary.wiley.com/doi/abs/10.1034/j.1600-0692.2002.00531.x', 'https://www.cxrefractories.com/news/997.html', 'https://www.mdpi.com/2076-3417/13/22/12473', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884213002691', 'https://www.researchgate.net/publication/266358950_MgO-C_refractories_for_steel_ladles_slag_line', 'http://www.diva-portal.org/smash/get/diva2:8882/FULLTEXT01.pdf', 'https://www.sciencedirect.com/science/article/abs/pii/S1350630719317200']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	foamy slag practice EAF arc shielding refractory protection	['https://www.carmeuse.com/eu-en/foamy-slag', 'https://www.ispatguru.com/foaming-of-slag-in-electric-arc-furnace/', 'https://www.highlandrefractory.com/electric-arc-furnace-slag-line-protection-integrated-refractory-lining-solution.html', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884218305005', 'https://www.researchgate.net/publication/240796102_The_Slag_Foaming_Practice_in_EAF_and_Its_Influence_on_the_Steelmaking_Shop_Productivity', 'https://www.sciencedirect.com/science/article/abs/pii/S2214785321008671', 'https://www.sme-group.com/blog/what-is-the-principle-of-foamy-slag', 'https://www.highlandrefractory.com/electric-arc-furnace-slag-erosion-solution.html', 'https://www.researchgate.net/publication/290268234_EAF_slag_foaming_practice_in_stainless_steel_production', 'https://www.researchgate.net/publication/314220241_Slag_Foaming_Fundamentals_-_A_Critical_Assessment']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	magnesia carbon brick slag line composition antioxidant aluminum silicon	['https://xintairefractory.com/product/magnesia-carbon-brick-for-ladle/', 'https://www.highlandrefractory.com/magnesia-carbon-bricks.html', 'https://www.highlandrefractory.com/fire-brick/magnesia-carbon-bricks/magnesia-carbon-brick', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884218303687', 'https://rsrefractoryfirebrick.com/application-of-aluminum-magnesia-carbon-bricks-in-ladle-lining/', 'https://www.highlandrefractory.com/introduction-to-magnesia-carbon-bricks.html', 'https://htcastable.com/magnesia-carbon-bricks-everything/', 'https://www.ispatguru.com/magnesia-carbon-refractories/', 'https://hanmetallurgy.com/product/magnesia-carbon-bricks/']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	ladle furnace long arc submerged arc slag cover electrode	['https://www.lmmgroupcn.com/lf-refining-process-technology-main-functions-equipment-and-features-of-the-lf-furnace/', 'https://hanmetallurgy.com/ladle-refining-furnace-design/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4551174', 'https://www.eafccmmachine.com/2022/08/ladle-metallurgy-furnace-process.html', 'https://hanmetallurgy.com/ladle-furnace-steelmaking/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5729569', 'https://en.wikipedia.org/wiki/Electric_arc_furnace', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6635096']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	MgO saturation slag ladle refractory dolomite addition	['https://www.sciencedirect.com/science/article/abs/pii/S0272884213003659', 'https://www.researchgate.net/profile/Emre-Alan/post/What_is_a_slag_really/attachment/5d161ce93843b0b98258b064/AS:774767107907585@1561730281214/download/Fundamentals+of+EAF+and+Ladle+Slags+and+Ladle+Refining+Principles.pdf', 'https://www.rhimagnesita.com/the-bulletin-blog/sustainable-slag-engineering-in-the-basic-oxygen-furnace-using-circular-metallurgical-additives-and-modelling-tools/', 'https://www.linkedin.com/pulse/what-kind-refractories-should-used-ladle-slag-line-corrosion-zhang/', 'https://www.sciencedirect.com/topics/materials-science/magnesia-refractory', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884223012683', 'https://www.witpress.com/Secure/elibrary/papers/WM12/WM12024FU1.pdf', 'https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202502888?af=R']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""slag splashing"" BOF magnesia coating refractory lining life"	['https://www.ispatguru.com/refractory-lining-of-a-basic-oxygen-furnace/', 'https://pennekamp-me.ae/slag-splashing-for-bof-extending-the-life-of-your-converter-lining/', 'https://www.sciencedirect.com/topics/engineering/refractory-lining', 'https://thinkhwi.com/industries/iron-steel/basic-oxygen-furnace-bof/', 'https://onlinelibrary.wiley.com/doi/abs/10.1002/srin.200606485', 'https://www.ispatguru.com/89-2/', 'https://www.scientific.net/MSF.620-622.45', 'https://www.mdpi.com/2076-3417/13/22/12473', 'https://www.sciencedirect.com/topics/materials-science/magnesia-refractory', 'https://xintairefractory.com/main-introduction-of-converter-refractory-materials-series/']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick"	['https://www.linkedin.com/pulse/what-kind-refractories-should-used-ladle-slag-line-corrosion-zhang/', 'https://magnesiacarbonbricklmm.com/magnesia-carbon-bricks-uses/', 'https://hitechmaterial.en.made-in-china.com/product/MOXtBIwrEzRY/China-Refractory-Magnesia-Carbon-Brick-for-Ladle-Furnace-Slag-Line.html', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8030235', 'https://steelmakinglmm.com/en/mgo-c-bricks-steelmaking-lining/', 'https://www.zinfon-refractory.com/news/refractory-materials-for-slag-line-and-low-ero-85270671.html', 'https://www.researchgate.net/publication/266358950_MgO-C_refractories_for_steel_ladles_slag_line', 'https://www.lmmgroupcn.com/magnesia-carbon-refractroy-brick/']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking"	['https://www.ispatguru.com/steel-teeming-ladle-and-its-refractory-lining/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4820342', 'https://www.ispatguru.com/ladle-slag-and-its-role-in-secondary-steelmaking/', 'https://www.rescoproducts.com/refractory-industries-applications/applications-details/steel/ladle-furnace', 'https://www.britannica.com/technology/steel/Secondary-steelmaking', 'https://www.ispatguru.com/ladle-metallurgy/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4720837', 'https://www.gem.wiki/Ladle_Metallurgy_Furnace', 'https://arxiv.org/pdf/2302.14620']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	RHI Magnesita ladle slag line MgO-C brick ANKRAL	['https://www.rhimagnesita.com/the-bulletin-blog/case-studies-of-high-recycling-containing-magnesia-carbon-bricks/', 'https://www.rhimagnesita.com/wp-content/uploads/2022/11/bulletin-2022-221110-linked.pdf', 'https://www.rhimagnesita.com/wp-content/uploads/2019/11/steel-foundries-1909-en-190917-eb-mon.pdf', 'https://www.diva-portal.org/smash/get/diva2:1574060/FULLTEXT03.pdf', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8030235']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection	['https://www.luxmet.fi/2025/08/15/managing-slag-in-ladle-furnaces-top-3-challenges-and-solutions/', 'https://www.ispatguru.com/ladle-slag-and-its-role-in-secondary-steelmaking/', 'https://onlinelibrary.wiley.com/doi/full/10.1002/srin.202400147', 'https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202502888?af=R', 'https://www.confer.cz/metal/2021/download/4084-thermodynamic-analysis-of-cao-sio2-al2o3-mgo-slag-system.pdf', 'https://www.intocast.de/wp-content/uploads/2024/02/Interaction_of_Molten_Secondary_Metallurgical_Ladle_Slag_with_MgO-C_Refractories_2023.pdf', 'https://www.sciencedirect.com/science/article/abs/pii/S027288422100016X']
