research_question	link	description	id	past_query
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884224047503	[SNIPPET] This study investigates the influence of ZrSiO₄-SiC reinforcement on the decarburization and thermal shock behavior of MgO-C refractories. The abstract reports that the formation of a CaZrO₃ phase within pores significantly improved slag corrosion resistance, leading to a reduced slag penetration depth and a thinner decarburized layer compared to unreinforced MgO-C refractory. SiC decomposition formed a protective silica layer, while zircon particles locked MgO grain boundaries, further enhancing corrosion resistance. The study proposes a corrosion mechanism based on the formation of microstructure containing dense and decarburized layers.	0	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0955221923006593	[SNIPPET] This article investigates the influence of calcium magnesium aluminate (CMA) aggregate and silicon carbide on the slag corrosion resistance of MgO–C refractories. The results showed that CaAl₂O₄ in CMA converted into an Al-containing liquid phase when facing the slag, while spinel with better slag corrosion resistance diffused to the refractory-slag interface, increasing viscosity and promoting the formation of a protective slag layer. The combined use of CMA aggregate and silicon carbide showed better slag corrosion resistance because silicon carbide increased the oxidation resistance and inhibited the decarburized layer, while FeSi alloy and higher viscosity also enhanced the slag corrosion resistance.	1	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884217303620	[SNIPPET] This work investigates the influence of flaky graphite content on the mechanical behavior and thermal shock resistance of MgO-C refractories. The results showed that increasing graphite content led to enhanced non-linear fracture behavior, reduced nominal notch tensile strength, and higher specific fracture energy, characteristic length, and thermal shock resistance parameter. Fractal analysis indicated that higher graphite content enhanced the irregularity of the crack propagation path, and microscopic fractographic analysis suggested that the improvement in thermal shock resistance was positively correlated with an increase in interface crack propagation.	2	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884225009435	[SNIPPET] This study examines the influence of Al/TiB₂ addition on the oxidation resistance and mechanical properties of low-carbon MgO-C refractories. The results showed that the bonding strength of the interface between the decarbonized zone and the unoxidized one was improved by TiB₂ oxidation, which generated liquid Mg₃B₂O₆ to promote densification of the porous zone. Furthermore, CaTiO₃ and Mg₂SiO₄ ceramic phases generated by high-temperature liquid phase reaction enhanced the bonding strength between the matrix and MgO aggregates, while the formation of tetrahedral Mg(Al,Ti)O₄ and conical TiCxN1-x solid solutions improved the structural strength. Compared with using a single Al addition, the refractories with 2 wt% Al/1 wt% TiB₂ addition had excellent bonding strength of the interface, with oxidation resistance increased by 67.1% and CCS (83.3 MPa) after oxidation treatment increased by 14.3%.	3	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884221031564	[SNIPPET] This study investigates the effect of calcium magnesium aluminate (CMA) aggregates on the thermal shock resistance and fracture behavior of MgO–C refractories. The results showed that CMA aggregates partly disintegrated, and spinel particles and whiskers were observed together with Al₄C₃ phase in specimens coked at 1400 °C. At 1600 °C, CMA aggregates completely disintegrated to generate much liquid phase, which promoted the formation of spinel whiskers apart from spinel particles and hexagonal AlN. CMA-containing refractories coked at 1400 °C possessed higher thermal shock resistance because CMA aggregates had abundant micro-sized pores and lower thermal expansion coefficient, and when reheating to 1600 °C in coke bed after thermal shocks, they had higher recovery strength index than CMA-free refractories.	4	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S027288421931819X	[SNIPPET] This short communication investigates the influence of Fe addition on the refractoriness under load, creep behavior, and slag corrosion resistance of MgO–C refractory in an oxidizing atmosphere. The MgO–C refractory exhibited a high maximum working temperature (T0.5, 1720 °C), but its creep rate at 1550 °C increased rapidly with time due to severe oxidation, causing early failure. The Fe-containing refractory showed a slightly lower refractoriness (T0.5, 1698 °C), while its creep resistance was greatly improved (1.0% deformation after 50 h duration), with the remarkable increase in bonding degree during oxidation considered the main mechanism for long-term structural stability. Both types of refractories showed good corrosion resistance to oxidized slag due to the presence of graphite and a dense MgO layer, but the Fe-containing refractory was more difficult to penetrate by the slag after graphite oxidation.	5	MgO-C refractory thermal shock spalling oxidation decarburized layer mechanism
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/251546157_Slag_attack_evaluation_of_in_situ_spinel-containing_refractory_castables_via_experimental_tests_and_thermodynamic_simulations	Thermodynamic simulations of slag attack on spinel-containing castables at 1650°C. The slag (CaO-Al2O3-SiO2-MgO) penetrates along grain boundaries, dissolving MgO and forming CaMgSiO4 (monticellite) and CA6. The presence of FeO accelerates dissolution. The study provides a corrosion index based on the slag basicity.	6	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.saimm.co.za/Conferences/MoltenSlags2004/309-Lee.pdf	[FULL] This conference paper discusses the theory of slag penetration and dissolution of oxide and oxide-C refractories. The rate of slag penetration can be quantified by Poiseulle's Law, which includes the effect of slag viscosity, and penetration can be suppressed by increasing slag viscosity or contact angle or by decreasing surface tension. The corrosion rate is a function of temperature, composition, liquid density, viscosity, diffusivity, and degree of agitation. If the reaction product is soluble in the liquid slag, active corrosion continues; if not, it may form a barrier leading to passive corrosion, with examples including the formation of a dense MgO layer in MgO-graphite refractories, a MgAl₂O₄ spinel layer in the corrosion of alumina refractories by MgO-containing slags, and a C₂S layer on MgO-dolomite refractories attacked by silica-containing slags.	7	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/251546379_Basic_Slag_Attack_of_Spinel-Containing_Refractory_Castables	Experimental evaluation of spinel-containing castables against basic slag. Spinel (MgAl2O4) shows good resistance to slag penetration due to low wettability, but in the presence of CaO, spinel reacts to form CA2 and CA6, which are prone to spalling. The abstract notes that the slag attack is more severe under oxidizing conditions, which are promoted by the top lance.	8	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://rudmet.net/media/articles/Article_CIS_2024_27_pp.20-30.pdf	[FULL] This article investigates the corrosion behavior of various slags on MgO–C lining in the RH-process for dynamo steel production. It is established that the main factor influencing the wear of the lining is its phase composition; spinel which forms at the slag-refractory interface can be washed out, exposing internal layers, but in the presence of calcium aluminate CaAl₄O₇ in the remaining melt, the intensive washout of spinel layers is inhibited, acting as a protective factor. By changing the slag composition, it is possible to obtain extremely low wear of MgO–C refractories even with small MgO content in the slag and therefore reduce the subsequent carburization of the metal caused by corrosion of the refractories in the slag zone.	9	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.academia.edu/95708377/Corrosion_of_high_alumina_castables_by_CaO_Al2O3_SiO2_MgO_system_slag	[SNIPPET] This conference paper presents the results of static crucible tests of high-alumina castables (LCC and ULCC) with CaO-Al₂O₃-(SiO₂-MgO) slag at 1450 °C. The corundum and corundum-spinel grains of the matrix dissolve in the slag-melt, with an intensive flow of slags at the surface and sub-surface occurring. In the LCC sample, the corundum-spinel matrix is attacked predominantly, creating a rough surface and releasing larger grains, while in the ULCC sample, the corrosion process is steady and the interface is smooth. Corrosion in LCC is more severe due to higher MgO content compared to ULCC, affecting service life.	10	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://pmc.ncbi.nlm.nih.gov/articles/PMC9146358/	[FULL] This paper investigates the corrosion mechanism of commercial alumina-spinel refractory by metallurgical slag at 1350 and 1450 °C. At 1450 °C, slags infiltrated the refractory causing significant corrosion, with new phases formed including calcium dialuminate (Ca₂Al₄O₇), calcium hexaluminate (CaAl₁₂O₁₉), and gehlenite (Ca₂AlSi₂O₇). Formation of calcium aluminate layers inhibited further dissolution of alumina aggregates; however, expansive behavior of CaAl₁₂O₁₉ raised the microstructure porosity. Additional SiO₂ in the slag doubled the amount of low melting gehlenite in the matrix, accelerating the corrosion process at high temperatures.	11	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S095522190100509X	[SNIPPET] This study investigates the corrosion mechanism of spinel clinker by CaO–Al₂O₃–SiO₂ slag. A layer of MgO·(Al,Fe)₂O₃ complex spinel formed at the slag-refractory interface was proportional to the MgO content of the spinel clinkers, and it depressed slag corrosion. The free MgO and spinel minerals trapped Fe₂O₃ from the slag, while CaO–Al₂O₃ compounds formed at the interface by reaction between free Al₂O₃ and CaO from slag, retarding slag penetration. Higher MgO content in spinel clinker showed better resistance to slag corrosion but lower resistance to slag penetration.	12	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
